APP_Libelle_activite_etablissement,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Libelle_commune_2,Date_inspection,Synthese_eval_sanit,Agrement,geores,Adresse_2_UA_2,filtre,Numero_inspection,SIRET
Restauration collective,SA SAINTE-ISABELLE,"236, route d'Amiens",80100,Abbeville,Abbeville,2024-03-26T01:00:00+01:00,Satisfaisant,,"50.098755,1.862632","236, route d'Amiens",Restauration collective,24-021268-1,00572016400028
Restaurants,HOTEL HERMITAGE,"5, Esplanade Lucien Barrière",44500,La Baule-Escoublac,La Baule-Escoublac,2023-10-02T02:00:00+02:00,Très satisfaisant,,"47.280031,-2.410122","5, Esplanade Lucien Barrière",Restaurants,23-080187-1,00578096000117
Restaurants,SYMARTIN,"38, avenue Louis Lajarrige",44500,La Baule-Escoublac,La Baule-Escoublac,2024-05-30T02:00:00+02:00,Très satisfaisant,,"47.280314,-2.369281","38, avenue Louis Lajarrige",Restaurants,24-042690-1,00668021900018
Rayon boucherie-charcuterie,PONT CHATEAU DISTRIBUTION,INTERMARCHE,44160,Pontchâteau,Pontchâteau,2024-04-17T02:00:00+02:00,Très satisfaisant,,"47.406252,-2.055172",INTERMARCHE,Supermarchés/alimentation générale,24-072233-1,00728021700014
Rayon pain/viennoiserie/pâtisserie,PONT CHATEAU DISTRIBUTION,INTERMARCHE,44160,Pontchâteau,Pontchâteau,2024-04-17T02:00:00+02:00,Très satisfaisant,,"47.406252,-2.055172",INTERMARCHE,,24-072250-1,00728021700014
Restaurants,LA TABLE DE PIERRE BOUREE,13 Route de Beaune,21220,Gevrey-Chambertin,Gevrey-Chambertin,2024-07-10T02:00:00+02:00,Satisfaisant,,"47.228155,4.979988",13 Route de Beaune,Restaurants,24-063556-1,01575096100037
Mareyage et préparation de produits de la pêche,LEFEVRE SURGELES,L'Abbaye,76680,Saint-Saëns,Saint-Saëns,2024-04-23T02:00:00+02:00,Très satisfaisant,76648002,"49.666677,1.28772",L'Abbaye,,24-030730-1,01728004100017
Abattage de produits de l'aquaculture,LEFEVRE SURGELES,L'Abbaye,76680,Saint-Saëns,Saint-Saëns,2024-04-23T02:00:00+02:00,Très satisfaisant,76648002,"49.666677,1.28772",L'Abbaye,,24-031352-1,01728004100017
Transformation de produits de la pêche,LEFEVRE SURGELES,L'Abbaye,76680,Saint-Saëns,Saint-Saëns,2024-04-23T02:00:00+02:00,Très satisfaisant,76648002,"49.666677,1.28772",L'Abbaye,,24-031385-1,01728004100017
Libre service,JUMBO SCORE,RN1 / HAMAHA,97600,Mamoudzou,Mamoudzou,2023-08-11T02:00:00+02:00,Satisfaisant,,"-12.763124,45.234508",RN1 / HAMAHA,Supermarchés/alimentation générale,23-066916-1,02404912400142
Entreposage de distribution de denrées alimentaires,JUMBO SCORE,RN1 / HAMAHA,97600,Mamoudzou,Mamoudzou,2023-08-11T02:00:00+02:00,Satisfaisant,,"-12.763124,45.234508",RN1 / HAMAHA,,23-068029-1,02404912400142
Restaurants,O'LOLO,PLAGE DE SAKOULI,97660,Bandrele,Bandrele,2024-07-04T02:00:00+02:00,Satisfaisant,,"-12.887453,45.213524",PLAGE DE SAKOULI,Restaurants,24-059401-1,02406846200027
Transport de denrées alimentaires,RESTO'VITE,RESTO'VITE,97600,Mamoudzou,Mamoudzou,2024-03-28T01:00:00+01:00,Satisfaisant,,,RESTO'VITE,,24-013651-1,02407910500029
Libre service|Alimentation générale,HYPERDISCOUNT,HYPER-DISCOUNT TOP MOD,97600,Mamoudzou,Mamoudzou,2023-11-03T01:00:00+01:00,Satisfaisant,,,HYPER-DISCOUNT TOP MOD,Supermarchés/alimentation générale,23-096597-1,02407969100010
